Title,Artist
Until I Found You (Em Beihold Version),Stephen Sanchez & Em Beihold
Last Night,Morgan Wallen
Miracle,Calvin Harris & Ellie Goulding
Escapism.,RAYE & 070 Shake
Creepin' (Remix) [feat. 21 Savage],"Metro Boomin, The Weeknd & Diddy"
Players,Coi Leray
sdp interlude,Travis Scott
Ride the Lightning (717 Tapes),Warren Zeiders
Miss You,Oliver Tree & Robin Schulz
Until I Found You,Stephen Sanchez
Flowers,Miley Cyrus
TRUSTFALL,P!nk
Eyes Closed,Ed Sheeran
10:35,Tiësto & Tate McRae
People,Libianca
I Am Free,Tones And I
I Want You (feat. Darren Hayes),Peking Duk
Green Green Grass,George Ezra
Calm Down,Rema
Heaven,Niall Horan
Maria Maria (Radio Mix) [feat. The Product G&B],Santana
The Reason,Hoobastank
Slut Me Out,NLE Choppa
It's Like That,Run-DMC & Jason Nevins
Love Again,The Kid LAROI
Drive,Incubus
Cupid (Twin Ver.),FIFTY FIFTY
Somewhere Only We Know,Keane
Therapy,Budjerah
"Boy's a liar, Pt. 2",PinkPantheress & Ice Spice
Wrapped Around Your Finger,Post Malone
Rhyme Dust,MK & Dom Dolla
Die For You,The Weeknd
Baby again.. (Mixed),"Fred again.., Skrillex & Four Tet"
Cupid,FIFTY FIFTY
Cornflake Girl,Tori Amos
Home For My Heart,ArrDee & Cat Burns
Sure Thing,Miguel
Comma's (feat. CG),Onefour
Red Ruby Da Sleeze,Nicki Minaj
Forget Me,Lewis Capaldi
On My Own,Ricki-Lee
Rush,Ayra Starr
What It Is (Block Boy) [feat. Kodak Black],Doechii
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X
Straight and Narrow,Sam Barber
"Don't Think Twice, It's All Right","Peter, Paul & Mary"
Dancin (feat. Luvli) [Krono Remix],Aaron Smith
River,Miley Cyrus
Celestial,Ed Sheeran
