artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Rema,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,0.8,0.81,11.00,-5.21,1.00,0.04,0.00,0.11,0.8,107,239318,4
Eslabon Armado,Ella Baila Sola,Ella Baila Sola,3dnP0JxCgygwQH9Gm7q7nb,0.67,0.76,5.00,-5.18,0.00,0.03,0.00,0.08,0.83,147.99,165671,3
"Peter, Paul and Mary",In the Wind,"Don't Think Twice, It's All Right",7IsXXgpowAB48crGjV1oGb,0.44,0.1,3.00,-22.53,1.00,0.03,0.00,0.11,0.54,101.72,196467,4
Coi Leray,Players,Players,6UN73IYd0hZxLi8wFPMQij,0.95,0.52,6.00,-5.82,1.00,0.16,0.00,0.05,0.62,105,139560,4
RAYE,Escapism. / The Thrill Is Gone.,Escapism.,5Z2MiIZ5I3jJvvmeWMLbOQ,0.54,0.74,2.00,-5.36,1.00,0.11,0.00,0.09,0.25,96.11,272373,4
Metro Boomin,HEROES & VILLAINS,Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,0.72,0.62,1.00,-6.01,0.00,0.05,0.00,0.08,0.17,97.95,221520,4
Toosii,Favorite Song,Favorite Song,1SRw5p2lVAi7RGlHEmZg66,0.82,0.37,2.00,-9.35,1.00,0.06,0.00,0.1,0.41,116.04,208630,4
SZA,SOS,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,0.64,0.74,8.00,-5.75,1.00,0.04,0.14,0.16,0.42,88.98,153947,4
Yng Lvcas,La Bebe (Remix),La Bebe - Remix,2UW7JaomAMuX9pZrjVpHAU,0.81,0.48,2.00,-5.68,0.00,0.33,0.00,0.08,0.56,169.92,234353,4
Morgan Wallen,3 Songs At A Time Sampler,Last Night,59uQI0PADDKeE6UZDTJEe8,0.52,0.68,6.00,-5.38,1.00,0.04,0.00,0.15,0.52,203.85,163855,4
Miley Cyrus,Flowers,Flowers,0yLdNVWF3Srea0uzk55zFn,0.71,0.68,0.00,-4.33,1.00,0.07,0.00,0.03,0.65,118,200455,4
Drake,Search & Rescue,Search & Rescue,7aRCf5cLOFN1U7kvtChY1G,0.82,0.44,10.00,-8.48,0.00,0.07,0.00,0.33,0.54,142.02,272113,4
Lady Gaga,Born This Way (International Special Edition V...,Bloody Mary,53jnnqFSRGMDB9ADrNriCA,0.59,0.64,9.00,-6.37,0.00,0.03,0.00,0.11,0.43,100,244760,4
Hoobastank,The Reason (15th Anniversary Deluxe),The Reason,77loZpT5Y5PRP1S451P9Yz,0.47,0.67,4.00,-4.65,1.00,0.03,0.00,0.16,0.07,82.95,232800,4
Miguel,All I Want Is You,Sure Thing,0JXXNGljqupsJaZsgSbMZV,0.68,0.61,11.00,-8.13,0.00,0.1,0.00,0.19,0.5,81,195373,4
PinkPantheress,Boy's a liar Pt. 2,Boy's a liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,0.7,0.81,5.00,-8.25,1.00,0.05,0.00,0.25,0.86,132.96,131013,4
Chino Pacas,El Gordo Trae El Mando,El Gordo Trae El Mando,3kf0WdFOalKWBkCCLJo4mA,0.74,0.8,7.00,-5.38,0.00,0.05,0.00,0.05,0.96,140.25,112087,3
Ed Sheeran,Eyes Closed,Eyes Closed,07bsRv0pcpbG4zJeLsUs1p,0.78,0.53,2.00,-6.22,1.00,0.06,0.00,0.11,0.39,107.07,194849,4
Queen,Hot Space (2011 Remaster),Cool Cat - Remastered 2011,7nhWtCc3v6Vem80gYPlppQ,0.82,0.4,9.00,-9.93,1.00,0.11,0.00,0.18,0.84,73.76,209107,4
Nicki Minaj,Red Ruby Da Sleeze,Red Ruby Da Sleeze,4ZYAU4A2YBtlNdqOUtc7T2,0.7,0.73,1.00,-6.18,1.00,0.26,0.00,0.11,0.29,98.36,214445,4
Keane,Hopes And Fears,Somewhere Only We Know,1SKPmfSYaPsETbRHaiA18G,0.45,0.67,9.00,-4.2,1.00,0.03,0.00,0.08,0.3,172,237147,4
Drake,Her Loss,Spin Bout U,2ZL7WZcjuYKi1KUDtp4kCC,0.77,0.7,7.00,-6.39,1.00,0.05,0.00,0.16,0.2,129.96,214589,4
Fuerza Regida,Bebe Dame,Bebe Dame,0mzsLrUNazBaRfYZfjmpSV,0.54,0.6,7.00,-4.63,1.00,0.05,0.00,0.07,0.75,157.44,271862,4
Incubus,Make Yourself,Drive,7nnWIPM5hwE3DaUBkvOIpy,0.65,0.79,4.00,-7.34,0.00,0.04,0.01,0.12,0.67,90.57,232453,4
Tori Amos,Under the Pink,Cornflake Girl,1300POeOaj8qho30FRHjgf,0.63,0.64,7.00,-8.96,1.00,0.03,0.00,0.22,0.81,133.74,305493,4
Ella Mai,Heart On My Sleeve (Deluxe Edition),This Is,2zuDMKJ2rSgCMtJknUJBZ9,0.48,0.49,0.00,-6.73,0.00,0.16,0.00,0.09,0.33,168.79,206429,4
Travis Scott,Birds In The Trap Sing McKnight,sdp interlude,4gh0ZnHzaTMT1sDga7Ek0N,0.51,0.59,0.00,-8.15,0.00,0.06,0.05,0.12,0.59,108.16,191623,4
Doechii,What It Is (Versions),What It Is (Solo Version),73RbfOTJIjHzi2pcVHjeHM,0.74,0.76,1.00,-5.85,0.00,0.09,0.00,0.1,0.76,171.93,189825,4
Sabrina Carpenter,emails i can't send,Nonsense,6dgUya35uo964z7GZXM07g,0.74,0.7,8.00,-4.91,1.00,0.03,0.00,0.22,0.73,138.99,163648,4
Grupo Marca Registrada,Di Que Si,Di Que Si,0kzN7YAMSbmlHOvxlbQW9y,0.57,0.59,9.00,-5.38,1.00,0.05,0.00,0.06,0.8,182.32,190554,4
Metro Boomin,HEROES & VILLAINS,Superhero (Heroes & Villains) [with Future & C...,0vjeOZ3Ft5jvAi9SBFJm1j,0.53,0.61,5.00,-5.3,0.00,0.26,0.00,0.19,0.49,116.62,182667,4
KAROL G,MAÑANA SERÁ BONITO,TQG,0DWdj2oZMBFSzRsi2Cvfzf,0.72,0.63,4.00,-3.55,0.00,0.28,0.00,0.09,0.61,179.97,199440,4
Latto,Lottery (feat. LU KALA),Lottery (feat. LU KALA),1JUtrCqYzJ80tcAzMbCvir,0.79,0.87,1.00,-2.97,1.00,0.09,0.00,0.07,0.93,113.97,186762,4
a-ha,Hunting High and Low,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,0.57,0.9,6.00,-7.64,0.00,0.05,0.00,0.09,0.88,84.41,225280,4
Yuridia,Qué Agonía,Qué Agonía,5WEt9MiZPNmCbhu8GOR9Kk,0.73,0.57,11.00,-5.73,1.00,0.02,0.00,0.05,0.88,97.5,152923,4
Peso Pluma,PRC,PRC,2mpoNBkngUEwnaKoBhZ0vl,0.78,0.83,7.00,-6.34,0.00,0.05,0.00,0.12,0.89,138.08,184066,3
Peso Pluma,Por las Noches,Por las Noches,2VzCjpKvPB1l1tqLndtAQa,0.81,0.6,0.00,-7.19,1.00,0.03,0.00,0.07,0.39,92.49,239845,4
Natanael Cano,AMG,AMG,1lRtH4FszTrwwlK5gTSbXO,0.77,0.73,11.00,-6.66,0.00,0.1,0.00,0.27,0.79,136.18,174943,3
Yahritza Y Su Esencia,Frágil,Frágil,4JdSXF2p71cr8uCY3UiJM0,0.61,0.73,6.00,-4.52,1.00,0.03,0.00,0.11,0.39,149.92,160518,4
The Weeknd,Starboy,Die For You,2LBqCSwhJGcFQeTHMVGwy3,0.59,0.53,1.00,-7.16,0.00,0.06,0.00,0.13,0.51,133.63,260253,4
FIFTY FIFTY,The Beginning: Cupid,Cupid,5mg3VB3Qh7jcR5kAAC4DSV,0.77,0.66,2.00,-8.2,1.00,0.03,0.00,0.4,0.96,120.02,174253,4
The Smashing Pumpkins,Siamese Dream (2011 - Remaster),Mayonaise - 2011 Remaster,0AJTKW9fVFo3rIXbtTVE3T,0.48,0.53,10.00,-10.43,1.00,0.03,0.55,0.08,0.09,145.97,348773,4
Yandel,Yandel 150,Yandel 150,2oiixB9QMIzhWaHGVlQx4g,0.78,0.73,6.00,-3.55,0.00,0.07,0.00,0.1,0.58,167.97,216148,4
Chino Pacas,Dijeron Que No La Iba Lograr,Dijeron Que No La Iba Lograr,7dR09k1an5JEq7ch0Y5hvV,0.7,0.79,7.00,-6.79,0.00,0.07,0.00,0.11,0.76,142.22,113020,3
FIFTY FIFTY,The Beginning: Cupid,Cupid - Twin Ver.,7FbrGaHYVDmfr7KoLIZnQ7,0.78,0.59,11.00,-8.33,0.00,0.03,0.00,0.35,0.73,120.02,174253,4
Junior H,El Azul,El Azul,1haJsMtoBhHfvuM7XWuT3W,0.56,0.65,9.00,-7.08,0.00,0.06,0.00,0.1,0.84,143.88,187226,3
Drake,Her Loss,Rich Flex,1bDbXMyjaUIooNwFE9wn0N,0.56,0.52,11.00,-9.34,0.00,0.24,0.00,0.36,0.42,153.15,239360,3
Lizzy McAlpine,five seconds flat,ceilings,2L9N0zZnd37dwF0clgxMGI,0.52,0.32,9.00,-11.76,1.00,0.03,0.00,0.22,0.26,148.01,182888,3
Lil Baby,It's Only Me,Forever (feat. Fridayy),1T4k0sw0HldDg004Kw4Oct,0.46,0.25,4.00,-12.07,0.00,0.16,0.00,0.2,0.14,89.71,167977,3
Fuerza Regida,Ch y la Pizza,Ch y la Pizza,1ySH55O0zbQBR77q8wQEyn,0.66,0.6,8.00,-4.5,1.00,0.13,0.00,0.14,0.85,148.67,136913,3
